Festigkeitsklasse;fmk;ft0k;ft90k;fc0k;fc90k;fvk;Em0mean;Em0k;Em90mean;Gmean;pK;pmean
C14;14;7.2;0.4;16.0;2.0;3.0;7.0;4.7;0.23;0.44;290;350
C16;16;8.5;0.4;17.0;2.2;3.2;8.0;5.4;0.27;0.50;310;370
C18;18;10.0;0.4;18.0;2.2;3.4;9.0;6.0;0.30;0.56;320;380
C20;20;11.5;0.4;19.0;2.3;3.6;9.5;6.4;0.32;0.59;330;400
C22;22;13.0;0.4;20.0;2.4;3.8;10.0;6.7;0.33;0.63;340;410
C24;24;14.5;0.4;21.0;2.5;4.0;11.0;7.4;0.37;0.69;350;420
C27;27;16.5;0.4;22.0;2.5;4.0;11.5;7.7;0.38;0.72;360;430
C30;30;19.0;0.4;24.0;2.7;4.0;12.0;8.0;0.40;0.75;380;460
C35;35;22.5;0.4;25.0;2.7;4.0;13.0;8.7;0.43;0.81;390;470
C40;40;26.0;0.4;27.0;2.8;4.0;14.0;9.4;0.47;0.88;400;480
C45;45;30.0;0.4;29.0;2.9;4.0;15.0;10.1;0.50;0.94;410;490
C50;50;33.5;0.4;30.0;3.0;4.0;16.0;10.7;0.53;1.00;430;520
GL24;24;19.2;0.5;24.0;2.5;2.5;11.0;9.6;0.30;0.65;385;420
GL28;28;19.5;0.5;24.0;2.5;2.5;12.5;10.4;0.30;0.65;390;420
GL30;30;19.5;0.5;24.5;2.5;2.5;13.0;10.8;0.30;0.65;390;430
D18;18;11.0;0.6;18.0;4.8;3.5;9.5;8.0;0.63;0.59;475;570
D24;24;14.0;0.6;21.0;4.9;3.7;10.0;8.4;0.67;0.63;485;580
D27;27;16.0;0.6;22.0;5.1;3.8;10.5;8.8;0.70;0.66;510;610
D30;30;18.0;0.6;24.0;5.3;3.9;11.0;9.2;0.73;0.69;530;640
D35;35;21.0;0.6;25.0;5.4;4.1;12.0;10.1;0.80;0.75;540;650
D40;40;24.0;0.6;27.0;5.5;4.2;13.0;10.9;0.87;0.81;550;660
D45;45;27.0;0.6;29.0;5.8;4.4;13.5;11.3;0.90;0.84;580;700
D50;50;30.0;0.6;30.0;6.2;4.5;14.0;11.8;0.93;0.88;620;740
D55;55;33.0;0.6;32.0;6.6;4.7;15.5;13.0;1.03;0.97;660;790
D60;60;36.0;0.6;33.0;10.5;4.8;17.0;14.3;1.13;1.06;700;840
D65;65;39.0;0.6;35.0;11.3;5.0;18.5;15.5;1.23;1.16;750;900
D70;70;42.0;0.6;36.0;12.0;5.0;20.0;16.8;1.33;1.25;800;960
D75;75;45.0;0.6;37.0;12.8;5.0;22.0;18.5;1.47;1.38;850;1020
D80;80;48.0;0.6;38.0;13.5;5.0;24.0;20.2;1.60;1.50;900;1080
